Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SA507123	0.0282203378730735	0	0.024491619487969	0.0882733745827969	0	0.21226345452975	0	0	0	0	0	0.0360649538501702	0.129096790372697	0.0102965112794938	0.098231553679165	0.241454444248036	0.00791594611065921	0	0.110706931186612	0	0.00160777972586949	0.0113763030737082	0.003	0.282770566438211	0.965112894120473
SA507126	0.0392520917419615	0	0.0432741831991478	0.0210918331633399	0	0.232594976328028	0	0	0	0.0239960015726878	0	0.0494198490765618	0.0920687885778694	0	0.106289643078152	0.222753074474831	0	0	0.0200859829332761	0.0109851171665855	0.00678618364829715	0.131402275039262	0.242	0.0694079964992615	1.06011794135928
SA507131	0.0912534058123324	0	0.0603295725178208	0.161481615745044	0	0.217397360720457	0	0.00756347786513559	0.01116162451712	0	0	0.0701463751768522	0.039166206497847	0	0.0300268193079464	0.246521092246022	0	0.0021587681237441	0.0611880002706137	0	0	0.0016056811990651	0.0620000000000001	0.135206054411881	1.03080015870578
SA507134	0.0308327688313453	0.046194407696106	0.0250344353026327	0.1629487707865	0	0.304155691165466	0.00715065592431941	0	0	0.0535870482716246	0	0.0553237344952608	0.0322759666883394	0	0.0335855372633194	0.12607848150035	0.0975706627712853	0	0	0.0243382342374941	0.000923605065956459	0	0	0.391234281791416	0.921330289857604
SA507135	0.00482852446061922	0	0.00476625152060062	0.191450613821292	0	0.149085512878084	0.0396504662283326	0	0	0.0202628433021295	0	0	0.0871384331507748	0.00612214643278341	0.0920331181274356	0.356368624938171	0	0	0.0449030216853659	0	0	0.00339044345441059	0.004	0.267104072694976	0.975696040882878
SA507143	0.00410083539272872	0	0	0.177781691608661	0	0.163864300737648	0.00321600672331615	0.0228397788055885	0	0.058506133233111	0	0.0193400151079294	0.162559868842869	0	0.0333779423448002	0.219651766423816	0	0.0220706900702112	0.0675558903366499	0	0.0234287727765419	0.0217063075961302	0.244	0.0690044981730959	1.05615119208136
SA507144	0.0137280613381353	0	0.0177016825674197	0.0604086151686649	0	0.128930301912615	0	0	0	0	0.0416535151127241	0.0482315131072861	0.12124572196454	0	0.0131915944389885	0.445739980993721	0	0	0.0726218818509844	0	0	0.036547131544921	0.04	0.149140530069895	1.02846804791743
SA507146	0.0602023463023186	0	0.0607618561984051	0.153733692465568	0	0.158672338779946	0	0	0	0.0342983768526096	0	0.0540415376246357	0.0377902550712245	0	0.0198017426583993	0.314506798204374	0.00950534023517679	0	0.0398883517511697	0	0.0127005644658217	0.0440967993903507	0.096	0.115377092239642	1.03596337471234
SA507147	0.0710851271978135	0	0.178457104352602	0.0307461836726155	0	0.264142419777982	0	0	0.00958003293207081	0.0547638968741893	0	0.0567900273692955	0.0159777117660585	0	0.0184373968195568	0.168574856836108	0.0536983223295152	0	0.0587909912463862	0	0	0.0189559288258059	0	0.452852098886528	0.890765564231577
SA507153	0.0160579755367869	0	0.00713042784101677	0.219118795892505	0	0.184113145132423	0.0194422202479068	0.0260213185644143	0.00161742078272045	0.0756192959663039	0	0	0	0.0704517755689494	0.061030845614275	0.301593459700669	0	0	0.0166207905625001	0	0	0.00118252858952887	0.018	0.1962158029313	1.01285412291399
SA507155	0	0.0107776234570505	0.0052513061267506	0.0504905798586556	0	0.12026429303343	0	0.0149000714577225	0	0.014505576832161	0	0.0303909868208059	0.254869032086615	0	0.0370169647194578	0.404832498742505	0	0	0.000804383976211017	0.0315974689512406	0	0.024299213937395	0.002	0.309814282031606	0.962807833571355
SA507156	0.00259065962029034	0.0579965104431402	0.00683453156363381	0.104875564214811	0	0.316302402009103	0	0	0.00557975540125723	0	0	0.0835471788021689	0.0295756663910356	0.0667714204781531	0.0974301814305556	0.0757399656573007	7.27802861980125e-05	0	0.138089884807526	0	0.0145934988948262	0	0.488	0.031734635173837	1.07640063295261
SA507158	0.154796468353794	0	0.106464715395477	0.0224427662538987	0	0.256043532952308	0	0.00518289470529466	0	0	0	0.0690452086457994	0.00890486435738873	0	0.0355747753809479	0.227105710147956	0.0206772608061667	0	0.0477355174716245	0	0	0.0460262855293434	0.105	0.108765691826837	1.04531223319821
SA507162	0.00669336830213096	0	0.000651475100997897	0.184563447208939	0	0.166931443868313	0	0.0113690670401097	0	0.0956502264592076	0	0.0295263890323952	0.110751515815423	0	0.0464425640009214	0.208930148356403	0.00243580554349828	0.0214497184116022	0	0.0531845387060401	0.0397962390125803	0.0216240531414394	0.002	0.316451983441565	0.954514591487334
SA507165	0.0459499546603304	0	0.0248679552178338	0.0820137782209609	0	0.282042573071562	0	0	0	0.0723994745308457	0	0.0541969692119297	0.0150823484517783	0	0.0769149241868193	0.128131032592918	0.0775616296721779	0	0	0.0450882746550946	0.0841779639045339	0.0115731216232156	0.143	0.0950401714913107	1.04406901717394
SA507167	0.00853609267242271	0.0108766196393078	0.0472273630419585	0.232060727466819	0	0.0860570393565108	0	0.01124986911832	0.113084343112559	0	0	0.180302918469615	0.0275812200181737	0	0	0.182400323150777	0.0133632834847887	0.0036470842265313	0.0735097521075848	0	0	0.0101033641346305	0.015	0.210514634442429	1.01446376415322
SA507174	0.0727224786374267	0	0	0.142196582383082	0	0.277621820319151	0	0	0	0	0	0.0501564640261053	0.0818138323338915	0	0.0142209046789585	0.305704099064255	0	0.00429719546227827	0.0448849138647262	0	0	0.00638170923012613	0.0649999999999999	0.132518359072801	1.03324337756944
SA507176	0.0123234946147969	0.0124764256874205	0.00153209735977354	0.064618266951265	0	0.155594186318644	0	0	0	0.03722648819869	0	0.0614757741512602	0.0705317880439904	0	0.0302451503797981	0.466087806515495	0	0	0.0506871781221217	0	0	0.037201343656744	0.0610000000000001	0.135787286096741	1.03534462723016
SA507177	0.108450687613788	0	0.0165343152068635	0.140877453254581	0	0.153617146586394	0	0	0	0.0306597275639132	0	0.0864684240875348	0.041341516715327	0	0.0518286778332055	0.26939164842464	0.0208733965499832	0	0.0371448350423216	0	0	0.0428121711214469	0.643	0.0116358932238854	1.07758538803465
SA507179	0.0219558190501415	0	0.0256577011002341	0.0103520640972447	0	0.206838184244569	0	0	0	0.0393477486695685	0	0.0260767145802071	0.0291367841652093	0	0.0912542727934649	0.263635920601706	0	0	0.122486175435665	0	0.0357873963376676	0.127471218924323	0.705	0.004614808969585	1.07903129149782
SA507183	0.00463466337163643	0	0.00537783065223899	0.249175327323252	0	0.151700590290274	0	0.0416750397620119	0	0.129998562952076	0	0.0813658117990567	0.0583545070113712	0.0630699975604122	0.0772491044046067	0.0459142612197017	0.0240794828326933	0	0.0531005991628816	0	0	0.0143042216577868	0.002	0.314363272973397	0.96645888596613
SA507186	0.00952439901238534	0	0.0051015311784004	0.3152368275186	0	0.135467960624359	0	0.031010697232247	0	0.0619530983584873	0	0.0493347195771723	0.00801896770568565	0	0.06785455549786	0.226264342592466	0.0200078054813013	0	0.0562760882016306	0	0	0.013949007019405	0	0.403306262817141	0.916653780465133
SA507189	0.145664719642618	0	0.0832296672787428	0.0501750464153205	0	0.219185836797625	0	0	0.0102251865917653	0	0.0166848626832245	0	0.0600693470528983	0	0.0350453819117519	0.211139715301	0	0	0.0990758481079112	0	0.0019235747646047	0.0675808134525381	0.286	0.060025670476214	1.05827590621715
SA507192	0.0373829078944756	0	0.0204649531140635	0.0950591732809831	0	0.172548035087093	0.0124979019651846	0.0294873602762273	0.00118131073439385	0	0	0.0663778079162332	0.0135401510359814	0.0698481166051143	0.053793229144388	0.331688899802062	0.00288454372321972	0	0.0568285328249221	0.0124040659753988	0	0.0240130106202592	0.00700000000000001	0.240987599280274	0.984112379740666
SA507194	0	0.0209359239979514	0.00833545641186916	0.235703099317661	0	0.145606489369026	0.00922623486490396	0.014881307920756	0.00693633840741744	0.0339334983360485	0	0.00538529358705615	0.0581109660591895	0.025739272137909	0.0561657822708903	0.339631050696493	0	0	0.024199512157981	0	0	0.0152097744648478	0.031	0.166869734793681	1.02080091862231
SA507195	0.00284391855171565	0.0192106776007362	0.0102034570090966	0.0938803348034179	0	0.277680772182562	0	0.00720771636312251	0	0	0	0.0164410824980324	0.0763860408170939	0.023525396115725	0.0620869372607702	0.167938650835351	0.00432272799960082	0	0.22610919003765	0	0.0121630979251259	0	0.372	0.0465213718949813	1.06227312327459
SA507197	0	0.0185894299678187	0.00410723230869472	0.0405474326663328	0	0.188146234181215	0.00621605884517377	0	0	0.0601459430619853	0	0.0619621378494927	0.0489455953866023	0	0.0609495298494809	0.293836909681264	0	0	0.0656168903235321	0	0.0683551074012225	0.0825814984771856	0.297	0.0586189500667691	1.05728513399519
SA507198	0.0129299800480173	0.0131522404588595	0.0129693316599617	0.190446406220063	0	0.202893179349349	0.0106440825248434	0.0257284463895206	0.000373946329692132	0	0	0.0588665392553257	0.0136304108324783	0	0.0970224946284138	0.22222788168174	0.0189762081408678	0	0.0754380151374742	0	0	0.044700837343394	0.002	0.304837219253457	0.95882223764264
SA507202	0.041998543783453	0	0.000616221712858953	0.0411655948586522	0	0.287307078445655	0	0	0	0.00680029739746621	0	0.0484859531156057	0.10026432953335	0	0.0642760812265241	0.308162301740465	0	0.0209991681509473	0.024196906059367	0.0262072075442305	0	0.029520316431425	0.55	0.0235411747215245	1.071458321566
SA507204	0	0	0.0254921052909709	0.0947901705383452	0	0.192033639530022	0	0	0	0.0164393383238545	0.0427734625903713	0.0248012177740444	0.128282388292044	0	0.108492679191954	0.260443865534625	0.00507460031235001	0	0.0314587408563198	0	0	0.0699177917650988	0.00600000000000001	0.244171516954683	0.985890512859769
SA507205	0.00690872617282452	0	0.00125401192277221	0.128730246797052	0	0.223154040018845	0	0.00744067964952729	0	0.0114744641100304	0	0.0620585822298123	0.035274975337909	0	0.0872288642712219	0.328607873386207	0	0	0.0916293375943646	0	0	0.0162381985094341	0.022	0.187725018195512	1.00899007123654
SA507207	0.060043739652948	0	0.00917557214393132	0.151384678017141	0	0.135509979994223	0.00538681689109937	0	0	0	0	0.0356108720719139	0.0859847401621781	0	0.0431816986698137	0.306631315188536	0.0567278227922331	0	0.0397056270606044	0	0	0.0706571373553789	0.039	0.151725033972238	1.01989537049267
SA507208	0.0656464046942433	0	0.0134171103426717	0.075879258184864	0	0.152165879329844	0	0.0064966678485394	0	0	0	0.0641842280041483	0.0947763433786097	0	0.0752792448105439	0.311995871377584	0.0134193533125879	0	0	0.0125789400776132	0.00117724388376271	0.112983454754987	0.083	0.121795193583455	1.03874415887892
SA507211	0.00497722901537443	0.0426135893943963	0	0.123644299577844	0	0.0983590655544535	0	0.0126411044730486	0	0	0	0.0700702995413211	0.0615448686492195	0	0.0185031518374024	0.432410001879854	0	0	0.103254319811232	0	0	0.0319820702658547	0.15	0.0929179571112764	1.0474904736459
SA507216	0.00327940736788478	0	0.0560401928518562	0.248897761924891	0	0.085798010374235	0.00426651724066802	0	0	0.0833860888947375	0	0.0227126183932168	0.106666881399066	0	0.0764022662844615	0.13258699784662	0.0195250322267245	0	0	0.0576910358247231	0	0.102747189370916	0.184	0.0837622898273779	1.0567455849815
SA507217	0.00308221079077141	0	0.00481167469331613	0.251555586473564	0	0.167373764402437	9.47735643083945e-05	0.0143148944252484	0	0	0	0.0624431222250765	0.0164748139437735	0	0.160733244314473	0.180174118226401	0.0546665479859858	0	0.0795001211403052	0	0.00477512781433942	0	0.016	0.206912700982805	1.01024825182969
SA507219	0	0.0115714125205439	0	0.105624187601598	0	0.161225516930098	0	0.0137283972911678	0.00398244019560611	0	0.00982580789353857	0.0124747927765594	0.10999206873566	0	0.0247202477297422	0.119740800960801	0	0	0.162324484301659	0	0.0132070099524399	0.251582833110587	0.376	0.0459039802109924	1.0937157485687
SA507228	0	0.0226369718292513	0.0114776535522681	0.39138163542182	0	0.195181938230861	0	0.0539054194779469	0.0340725585486935	0	0	0.0426124234445063	0.0440731746689386	0	0.0805463345142341	0.103895071659942	0	0	0.0202168186515378	0	0	0	0.001	0.333615918918638	0.962461978700889
SA507232	0	0.0244135071630265	0.0170915072455685	0.505920069503801	0	0.00909805503417031	0.00111051969552911	0.0112701199521015	0.0737442007918891	0.0186455558490762	0	0.175488178092469	0.015478034039112	0	0.0276997756020723	0.118297402105751	0	0.00119346057824361	0.000549614347189897	0	0	0	0	0.40613863783601	0.935257042207735
SA507237	0.0732892620045779	0	0.0394199294835125	0.0705762945585689	0	0.244517304414459	0	0	0	0	0	0.0835694662537094	0.036456658215528	0.0327668452645933	0.0519453887379836	0.286475051232811	0	0	0.0555324086058347	0	0	0.025451391228421	0.019	0.194222635522294	1.00234265982988
SA507240	0.100389652260101	0	0.0310796104469589	0.0554807047029216	0	0.145608642243452	0	0	0	0	0	0.0618264336148729	0.020270578340659	0	0.049607211207788	0.253034581142612	0	0	0	0.0204849278533285	0.110157872044239	0.152059786143068	0.697	0.00554768521623719	1.08553042414874
SA507249	0.0863602960882556	0.0336699069861198	0.0311486264989349	0.0596050141040182	0	0.252921680303764	0.0223102715001394	0	0.000250022890642533	0.0277467341394929	0	0.0345102049978178	0.0964200870954336	0	0.0375369467896426	0.280358919510448	0	0.00597564094301243	0.0311856481522779	0	0	0	0.085	0.119934202002503	1.03201092464104
SA507252	0.0816583049884546	0.00191727088831189	0.0212199919312292	0.010829931664615	0	0.323771601397428	0	0	0	0.00363490961329125	0	0.0651744262865327	0.00944362353149553	0	0.0278119343890717	0.284781407032876	0	0.000212486486319483	0.169544111790374	0	0	0	0.685	0.00667949967567212	1.07569021613065
SA507253	0	0	0.00338828382673634	0.296691796526131	0	0.143893050486041	0.0252218668047107	0.0386392169826562	0.0106348298045462	0.0404073669568531	0	0.0680234243457511	0.0925611318647032	0.00483902931276867	0.0987792072616288	0.147071251961652	0	0	0.00917215784881658	0	0.0099113509315033	0.0107660350855017	0.014	0.219746944580301	1.00940602785015
SA507261	0.0152363984699921	0	0	0.0424730757045674	0	0.249260336976601	0	0	0	0.0902276400094828	0	0.0288448450776345	0.00206255906893591	0	0.110375260693396	0.290674174689456	0.0444511670954478	0	0.106831512417095	0	0	0.0195630297973918	0.00700000000000001	0.241103009874698	0.985585645961859
SA507262	0.0217472690375867	0.0200542533990246	0.015562890981997	0.0762756557980522	0	0.119490999640773	0	0.0284998722544512	0.022333146722636	0.00649316565685234	0	0.122731849198354	0	0.297241215345658	0.0298291022463667	0.214414250354408	0	0	0	0.0253263293638405	0	0	0.003	0.274651239630655	0.983489996744435
SA507264	0.066249473187857	0	0.0586585837234002	0.031947300210447	0	0.198033402835051	0	0	0	0	0	0.0454548107969047	0.0858463978394034	0	0.0573721456948494	0.312549431737255	0.010228632372345	0	0	0.0230474158584725	0.041010829070502	0.0696015766735124	0.122	0.101296534285015	1.04010227125544
SA507271	0.0223067280672329	0	0.0117102781216339	0.0732101154469162	0	0.181295207391088	0	0	0.0106237052034421	0	0.0248584984573144	0	0.0129397574134735	0.0590887175218743	0.0250615115892597	0.439196465661575	0.00117781952635235	0	0.138531195599837	0	0	0	0.043	0.146324391178084	1.02861082336553
SA507272	0.0220633567481752	0	0.00270457470484393	0.101562361656019	0	0.125610163914275	0	0.022767955599154	0.011430071655446	0	0	0.0601732985306372	0.0594452071000874	0	0.0328321233946914	0.322516022121436	0.0388377385810089	0	0.128517723722058	0	0	0.0715394022721689	0.038	0.155338831568973	1.01722635457199
SA507275	0.0529715088556046	0	0.0860939491929949	0.0230366341211819	0	0.203749067643238	0	0.00213759325762503	0	0	0.0399303732897432	0.0162262793285394	0.0528640572643962	0	0.0350134073165651	0.285692754226665	0	0	0.113610192287115	0	0	0.0886741832163311	0.216	0.0771144347922474	1.04603296279334
SA507278	0.0274278737648591	0	0.0054565288496436	0.22027774837356	0	0.148604787558541	0.00771534290400194	0	0.0220735064990018	0.0642685792288463	0	0.0451073548899994	0.00640759004684949	0	0.0425935134643726	0.263086291176404	0.0236084492027625	0.0027855940084099	0.0956891417993634	0	0	0.0248976982333846	0.01	0.230440583863488	0.991999559821514
SA507281	0.0954570603310021	0	0.0158489504988794	0.0542062718261481	0	0.207624445429298	0	0	0	0	0	0.0569829085556741	0.027906491624134	0	0.0510190931209019	0.32408307182148	0	0	0.148688276238436	0	0	0.0181834305540462	0.38	0.0448843761170612	1.0576925788296
SA507285	0.00450172908591516	0	0.0537716023148327	0.212925089791654	0	0.0614825469210089	0	0.0171593514477315	0.00778514825567477	0.015366736615104	0	0.080817793501568	0.0297596651877569	0	0.0833825367900847	0.341000860254967	0	0.00244012388999991	0.0837470138422524	0	0	0.00585980210144967	0.01	0.229085474533205	0.990472406906502
SA507290	0.00361581828442975	0.0100225663113909	0.0242292968115159	0.132473502529707	0	0.13142726408675	0.00513263028523204	0	0	0.0393640848065448	0	0.230312364047166	0.0886064588962576	0.0284331874852117	0.120282263876392	0.112790496678449	0.00757467885976158	0	0.0657353870411913	0	0	0	0.028	0.171068289835495	1.03579240828724
SA507294	0.0121373803416632	0	0.0137912970502933	0.452760141494666	0	0.0476025826908313	0.00798078412838957	0.0293276821568347	0.0218860300201692	0	0	0.0667118797260283	0.0248075630761425	0	0.0770251565982684	0.174503356304124	0.0184427081749321	0	0.048921826247296	0	0	0.00410161199036079	0.001	0.348211053197869	0.947714295149234
SA507305	0.0018128348678873	0	0	0.0205220199265711	0	0.233990494234197	0	0.0260654525621432	0.00664049933437226	0	0.0546935718726212	0.051117687741367	0.0953302786247971	0	0.0845278658771545	0.285838427971276	0.00934835219411249	0	0.101101615619115	0	0	0.0290108991743866	0.413	0.0406719619792906	1.06341172699019
SA507308	0.0717580794465334	0	0.0428303842792906	0.0142451395204614	0	0.126261039811147	0	0	0	0	0	0	0.0424295119640943	0	0.0708162085837473	0.455233801381004	0	0	0.170863130333702	0	0	0.00556270468001998	0.478	0.0328344907402422	1.07659432499588
SA507315	0	0.0455229406665601	0.0931196722809938	0.0780256160745097	0	0.248111042389498	0	0.0221389230588149	0.021956877993299	0.0197037194104473	0	0.0650932367689295	0	0.101036492557489	0.126121666408386	0.179029079135796	0	0	0.000138606388502804	0	0	2.12686677511602e-06	0.107	0.106597245750942	1.05115071392381
SA507317	0.0110671601946224	0.119651147331283	0.0689929944626518	0.235859893542011	0	0.0911378201384747	0.0813534568746538	0.0653207321898211	0.0172915062845299	0	0	0.0808610463318935	0.0171710811949463	0	0.000726599071265869	0.193370329055925	0	0.00697600183303153	0.00638611932760656	0	0	0.00383411216728364	0.001	0.326425570882399	0.95374063473667
