"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RHCG",-5.85014217606945,2.23129446723584,-64.4628458968133,5.00878774730099e-103,2.40481917323415e-98,223.220826270398
"ATP6V1G3",-5.4699659202922,1.97535049249919,-63.6736664470571,2.49321182315809e-102,5.9852043026733e-98,221.690716275322
"KNG1",-7.88750917779305,3.32032924144857,-52.3148417273831,2.70523321415709e-91,4.329455235937e-87,197.23519170713
"CLDN8",-5.948100798286,2.22795223885342,-51.9300810184464,6.97115340897985e-91,8.36747543679851e-87,196.316786619086
"TMEM213",-5.61369438733137,2.16285256842422,-51.4994634014069,2.02621162648681e-90,1.94564945221769e-86,195.281029745037
"HEPACAM2",-3.57084304685885,1.27234873549631,-51.2195219901057,4.07200181490138e-90,3.25841585228408e-86,194.603167444737
"BSND",-3.67616348687397,1.27833981536495,-50.6280383403203,1.79979103224432e-89,1.23445095771592e-85,193.159035631563
"DMRT2",-3.42621065444526,1.2329856069478,-48.6882446417098,2.63359591680405e-87,1.58055258946995e-83,188.306196791717
"AQP2",-7.74109597769435,3.10211811314006,-48.0773421268725,1.31365314964785e-86,7.00790166898809e-83,186.73953872765
"ATP6V0A4",-5.35756405278534,2.17652332344371,-47.2589801407308,1.16387759369589e-85,5.58800910285272e-82,184.610977744922
"GGT6",-5.39120817763226,2.2394274876566,-47.1860752285075,1.41584457046103e-85,6.17977541063407e-82,184.419664273499
"HRG",-3.66024104805,1.28131810774373,-46.2602518637636,1.7460769885082e-84,6.98605403102132e-81,181.965650886848
"TMEM52B",-5.7202474381738,2.83127837862543,-44.8881240354421,7.85270791616057e-83,2.90018624977462e-79,178.242760053378
"KCNJ10",-4.05800871859201,1.70847175314096,-44.4085051306781,3.04274811749891e-82,1.04348873298113e-78,176.916469118011
"FAM245A",-3.42278116245648,1.35687707757896,-42.176963685085,1.97294206442173e-79,6.31499295980106e-76,170.567102816218
"ATP6V0D2",-4.89263295152375,2.19830500823379,-40.5903446569033,2.36250831007137e-77,7.08929681144666e-74,165.864617534562
"FOXI1",-3.99298663474192,1.45361527615085,-40.5565953885529,2.62016386622459e-77,7.39995926736325e-74,165.762812090849
"CA10",-2.60148548375475,0.943374143187614,-40.301970203035,5.73489536403705e-77,1.52968775676748e-73,164.992287227537
"CALB1",-5.88694208134068,2.33593537378928,-40.1715724294552,8.57931722228389e-77,2.16794830776997e-73,164.596010302677
"LINC01187",-3.83104559644735,1.36792524782124,-39.9444015506003,1.73521076167174e-76,4.16554695446919e-73,163.902905432848
