Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-CZ-5457-01	0.0112131680216026	0	0.0761772745638331	0.211757666129239	0	0.0194410718535409	0	0	0	0.0976899255890929	0	0.0336134449085287	0.0752497879646548	0	0.0924548676046355	0.280278291987016	0.000177729253552539	0	0.0942485465535655	0	0	0.00769822557073878	0.00800000000000001	0.276305274657655	0.974502744651504
TCGA-BP-4789-01	0.0457904445902555	0	0	0.124813486763828	0	0.224382630340149	0	0	0.00734862357214609	0	0.0536679863418458	0.0386648247610743	0.0152752350475876	0.00118907327731483	0.0892205874890274	0.210864645263228	0.0266703405988562	0	0.152688154398628	0	0	0.00942396755606036	0.122	0.110902839517015	1.04596507835693
TCGA-AK-3431-01	0.024353298794038	0	0.00434531883690756	0.128741048111704	0	0.20533976671389	0	0	0.0117394791497671	0.0108516476972121	0.0785109408620217	0	0.0748570282172332	0.175436999503573	0.0571831772543252	0.166362531511092	0	0	0.0580866413430609	0	0	0.0041921220051743	0.00600000000000001	0.322912532306322	0.954014156030141
TCGA-B0-4842-01	0.00192829633497613	0	0.0755053762753325	0.174415238926568	0	0.0585217716330722	0.00164522123621173	0.0272874631618201	0.11354511628584	0.0311075497015298	0	0.0619710353257508	0.0150773295661607	0.16204128812143	0.0731200423263547	0.113668281470344	0.00612355524250379	0	0.0577038202204428	0	0	0.0263386141716628	0.005	0.343560576940339	0.943089951142319
TCGA-CJ-4900-01	0	0	0.179023220129336	0.370661807476731	0	0	0.0285886878562867	0.0112284662581255	0.0603625596840701	0.0138946759837105	0	0	0.022037154988101	0.0260651592566112	0.114264373554309	0.148851936964824	0	0	0.0163087072292271	0	0	0.00871325061866777	0.001	0.476244885801821	0.878798974833276
TCGA-A3-3352-01	0	0	0	0.0522657245789491	0	0.232527823252268	0	0	0.018529009444026	0	0.0956287449025561	0.0222727812776004	0.124096997490207	0	0.134961415774228	0.218768721754547	0.00915667595505645	0.00119840575857946	0.0905936998119817	0	0	0	0.154	0.100505865637366	1.05671511537572
TCGA-B0-4833-01	0.0120549567661436	0	0.021867974541158	0.419026739591804	0	0.0241095579525981	0	0.0292746337042101	0.0343241043220326	0.0415119622660887	0	0.0992903801948806	0.0114437002110252	0.0205602464615485	0.0901981981379362	0.0997444656839167	0.0148174957065982	0	0.0809047887778074	0	0	0.00087079568225153	0.003	0.404508195511457	0.926269892122886
TCGA-B0-4837-01	0.0973372750152714	0	0.00881201150449079	0	0	0.157765735247062	0	0.00700668014039886	0.046613272028324	0.0181347330084588	0	0.0252550609098278	0	0.430930569745937	0.0183938892321686	0.164016190513723	0	0	0.023312291877836	0	0	0.00242229077650282	0	0.535164271789116	0.844674279708026
TCGA-CJ-4893-01	0	0	0.00798213029116164	0.437419034357748	0	0.0879155167518371	0.0181580177373905	0.0115252645621494	0.0110986726761586	0.0506362282361648	0	0.0238082943465925	0.0690761481020875	0	0.0844146066825891	0.135415461239416	0.0106785890963335	0	0.0518720359203716	0	0	0	0.00700000000000001	0.27998992507163	0.992113723565567
TCGA-A3-3331-01	0.0551640735721026	0	0.000805177539231035	0.129867855165128	0	0.14047304765888	0	0.0367524694720441	0.00572245586541246	0.024988716389428	0	0.0526510283519168	0.0682681394067071	0	0.113585262655009	0.264969289600732	0.0127803454260971	0	0	0.0866023983016564	0	0.00736974059565534	0.083	0.133349027658477	1.04384586651542
TCGA-G6-A8L8-01	0.00795067115755736	0	0.00375553365674217	0.0593396406311383	0	0.211536945976806	0	0	0.0672874660059001	0	0.0143889270582694	0.180834471099591	0.0664706538957321	0.0330319654362553	0.068631414511465	0.0837742055941663	0.0289012528998447	0.00217593139651648	0.171920920680016	0	0	0	0.374	0.0526515426026544	1.09167605421742
TCGA-B0-4828-01	0	0	0.00533063770199812	0.220192600635349	0	0.274399437625638	0	0.0555111430724493	0.0510286473110002	0.0100113997544437	0.0467029165548825	0.026547619298873	0.0960175942810857	0	0.086490868492316	0.0842775395373477	0	0	0.0434895957346169	0	0	0	0.044	0.168603113409732	1.04382179007113
TCGA-BP-4758-01	0.0111110411992798	0	0.0177719042754169	0.380207786922443	0	0.0747954422869153	0	0.0539835118440058	0.0454144448613913	0.102368303510084	0	0.0978170393778876	0	0	0.0840171877409398	0.0736935868766174	0.0169412839633009	0	0.0418784671417182	0	0	0	0.076	0.138888857158684	1.09339240052897
TCGA-B4-5832-01	0.0370302726900261	0	0.0110181295603655	0	0	0.377914804477989	0.0228448107326096	0	0	0.0577738930080545	0	0.0369132556121691	0.0114609853951993	0	0.0844516455372685	0.218342474120944	0.00272484718223658	0	0.0688512087016624	0	0.0576003345330377	0.0130733384484373	0.193	0.0912085939966948	1.05292557349655
TCGA-CJ-5678-01	0	0	0.0864959468515221	0.316804710307964	0	0.0988677629805815	0.0128046376149473	0.0264852574078956	0.0629116630338185	0.0712834879971786	0	0.0360863359788996	0.0286390618157711	0	0.0850503463784511	0.127727943540794	0.0228828124084737	0	0.023960033683703	0	0	0	0.001	0.465809316834282	0.884586953409738
TCGA-CJ-4895-01	0.00727172175226685	0	0.014335116787586	0.11200522338302	0	0.148884906339047	0	0.027342137450274	0.0185314060511468	0.0589645375133671	0	0.0679276462959563	0.0384543248391019	0.0806854865265605	0.131381521410278	0.277779713014333	0.00942302952965184	0	0	0	0.000986551988096924	0.00602667711931412	0.005	0.355987093124924	0.943756788481165
TCGA-EU-5905-01	0	0	0.00584617883866798	0.0914015781789599	0	0.246925568611036	0	0	0.017707514607553	0	0.00111165275223302	0.0552416764643766	0.100288149781298	0	0.0605461881086076	0.32881241437599	0	0.0122537059297797	0.0759197401816904	0	0	0.00394563216980742	0.039	0.176079572272464	1.0189831775049
TCGA-B8-4622-01	0.00975171501744725	0	0	0.0757965182392463	0	0.257707780786753	0	0	0.032059214104609	0	0.0843406801749957	0	0.144693369232148	0	0.0636539772717147	0.276962316404284	0.000655815487619054	0	0.0476991853681307	0	0	0.00667942791305259	0.00700000000000001	0.303204335583668	0.961962572063793
TCGA-A3-3374-01	0.000754772253643981	0	0	0	0	0.0232115198195457	0	0	0.0102185573325827	0.0201386644853764	0	0.00436642001707458	0	0.705526762202152	0.00779767732541183	0.189126181057162	0	0	0.0388594455070499	0	0	0	0	0.845191291444857	0.537146733781829
TCGA-BP-5169-01	0	0.0126943472140403	0.295741952190134	0.165228691937231	0	0.119134371545071	0	0	0.110076642161083	0	0.00528428797694657	0.0113381636321311	0.000912631277797626	0.0957032248302749	0.0429253147474112	0.118555354684282	0.00359833449412759	0	0.017544191522282	0	0	0.00126249178718743	0.001	0.448165170250797	0.896249625983582
TCGA-B0-5097-01	0.0169030984807122	0	0.00772174196066346	0.0419928171540298	0	0.233182887910524	0.0407783890429859	0	0.0208613181848441	0.0057647388228405	0	0	0	0.317303610467701	0.0349037994104766	0.211008983685066	0	0.0172084319739492	0.0462808133238882	0	0	0.00608936958232009	0.002	0.420638738560589	0.910557122457083
TCGA-A3-3378-01	0.0840726106777289	0	0.0392615736266764	0.0876693769870911	0	0.117662728393681	0.0144120424311047	0.0405892413261918	0.0138543974625553	0.0252325013698682	0	0.0339282997104991	0.00269689947650946	0	0.0720349212580101	0.322275430109203	0.0130448296776791	0	0.0510637408182268	0	0	0.0822014066749756	0.00600000000000001	0.331892310345386	0.946399293278453
TCGA-BP-4169-01	0.0620181202069644	0	0.0347808948215844	0.0953634106370604	0	0.266744416342737	0.00733482628424312	0	0	0.00241794578452966	1.53785818131333e-05	0	0.121954076866526	0.0027627376817043	0.147469598359877	0.138361587809413	0.0413242644852841	0	0	0.0392023749943322	0	0.0402503671439309	0.002	0.428601438778117	0.902897238829762
TCGA-CJ-4876-01	0	0	0.0456227599034763	0.586505817525391	0	0	0.0257630712359007	0.020476336998282	0.0674968123003344	0.0710714413998821	0	0.0483669573920649	0	0	0.0792912170162717	0.0401419082315795	0	0	0.0152636779968173	0	0	0	0.012	0.242479148075904	1.05180730067254
TCGA-B0-5095-01	0.0588285885892801	0	0.0116348768720189	0.188565977041385	0	0.169604696291504	0	0.00608743380407101	0.0335640265053013	0	0	0.107615174421536	0.0312197903053907	0.0561317788683702	0.0911199746749532	0.22278757037068	0	0	0	0.0189460652450236	0	0.00389404701048554	0.00900000000000001	0.2659436318534	0.987967359345565
TCGA-AK-3433-01	0.065039435008969	0	0.00231867040953973	0.0534324564798582	0	0.193386580617612	0	0	0.0391858525828534	0	0	0.0912112056484159	0.123794334461064	0.0170467801141361	0.104251728143269	0.218671737218173	0	0	0.0916612193161093	0	0	0	0.693	0.00907109916798273	1.08653633559888
TCGA-B0-4710-01	0.0472204807807092	0	0.0639313278689362	0.235520831336626	0	0.168369304790089	0	0.0077817459728967	0.0185081829735019	0	0.071609960113653	0	0.105159073893967	0.050681782330387	0.0450273479271963	0.13695141976105	0	0	0.0328146309775489	0	0.0095024342964432	0.00692147697699644	0.044	0.167649178458237	1.02042531857736
TCGA-CZ-5984-01	0.00459647181068056	0	0.0775501078005311	0.0783033176518711	0	0.274578145854715	0.011859649182609	0.00115677973907717	0.0314807789746324	0	0	0.0108087631988807	0.0660677037411657	0	0.083258889324565	0.150239768579295	0.15435284579604	0	0.0478436792229465	0	0	0.00790309912299142	0.018	0.222252347734144	0.989793740515196
TCGA-BP-4762-01	0.0201438855151458	0	0.0302282473724255	0.137806868105682	0	0.138774688815941	0.00238785280471147	0	0.0243638531513431	0.0535883418446189	0	0.0262132214492168	0.058955113476453	0	0.0577756120978714	0.263399513239112	0.0734358193476202	0	0.112116971695712	0	0	0.000810011084146663	0.004	0.368295429242947	0.929887527630537
TCGA-BP-4770-01	0.0157016230743794	0	0.0111559408215261	0	0	0.169208626590223	0.00478045270716342	0.0115446931232866	0	0.121208930941492	0	0.0229028631241909	0	0.308601115780371	0.0325352017424367	0.257218617757297	0	0	0.0451419343376332	0	0	0	0	0.650443177942668	0.770137538164973
TCGA-BP-4331-01	0.00690642406120795	0	0.0103531486866684	0.0975413319607556	0	0.252912427056436	0.00662038436616114	0.00926707915113456	0.0209123954712409	0	0	0.0171845924758268	0.079299910254142	0	0.0615462093705062	0.357824342936032	0.00662382256520148	0	0.0512022923195947	0	0	0.0218056393250915	0.00700000000000001	0.303022113658789	0.962454382959152
