"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRR35",-3.67465404038197,0.547767980254738,-58.8743582643878,8.60312290396469e-248,1.67786705996023e-243,556.758468967775
"SLC9A4",-4.71771662469354,0.78936484403126,-55.8959124697172,1.32396575380272e-236,1.29106520482072e-232,531.130840997868
"AQP2",-9.96629676395576,1.79545748180751,-53.5047689264844,2.53132996090369e-227,1.64561760758349e-223,509.85877609252
"ACPP",-4.19512507749023,1.20785229045269,-52.2547465175265,2.32095022815388e-222,1.13163730749213e-218,498.482233230499
"HS6ST2",-4.32503716255646,0.8315553500876,-52.0619717230627,1.37343040683764e-221,5.3572026449109e-218,496.711825053744
"MUC15",-5.49129926967388,0.938058238633203,-51.1802009368336,4.93526169099961e-218,1.60420681265942e-214,488.558862592402
"ATP12A",-3.16393738320166,0.479287420676129,-50.2836101122295,2.23225937877856e-214,5.76176981049198e-211,480.175579245441
"GPC5",-3.06712703494334,0.621537573945837,-50.2775613230737,2.36343939311572e-214,5.76176981049198e-211,480.118699993365
"DUSP9",-5.9592265269903,1.36814761444919,-49.4514606257763,5.99954361771872e-211,1.30010110195965e-207,472.309693027282
"PIK3C2G",-3.04760676981124,0.513764893051187,-49.1827856811182,7.81553131398258e-210,1.52426307216602e-206,469.752393738203
"TMEM207",-4.02061171717281,0.582980695806415,-48.2024562859453,9.82835321973491e-206,1.742567025859e-202,460.347750507673
"TFAP2B",-3.84062857061336,0.689792398994816,-47.24686464733,1.08871302823549e-201,1.76943084913972e-198,451.068188100927
"SLC12A1",-8.03363590734375,1.73116287971443,-47.2148308995007,1.49047757587335e-201,2.23606032017369e-198,450.75518193977
"KCNJ10",-5.19056033512519,1.34360981208128,-46.8907040072888,3.60275581480144e-200,5.01889618971946e-197,447.581010622086
"UMOD",-11.2278223658218,2.21448490733337,-46.039815533302,1.63905611454892e-196,2.13110076013651e-193,439.186698754063
"GP2",-2.69782409530218,0.402507046917712,-45.764120641567,2.55906655813601e-195,3.11934219270791e-192,436.447664975926
"ESRRB",-4.08822657901556,0.931612994893452,-45.6294830637205,9.82669865683857e-195,1.12735355237837e-191,435.106609996415
"RALYL",-3.05783749690135,0.523469935134923,-45.4857299687208,4.14349651251199e-194,4.48947847130674e-191,433.672273254825
"HRG",-4.40143380890873,0.74182408538758,-45.4779205810787,4.48073877609473e-194,4.59936043948292e-191,433.594279301685
"TRPV6",-1.94697428508389,0.376385951177383,-45.3649469972415,1.39098232674882e-193,1.35641641592911e-190,432.465139923979
"KNG1",-8.45418444477712,1.74331846624266,-45.2293302319592,5.43005136499407e-193,5.04296627483235e-190,431.107589237713
"TMEM238L",-3.32929050715845,0.56783173902205,-44.9136413172297,1.30462768920239e-191,1.15655244647792e-188,427.938598562745
"FXYD4",-8.23403235027232,1.68950098852572,-44.3155617895689,5.57111628031212e-189,4.72406438325771e-186,421.900729603398
"NELL1",-4.0340028862407,0.737377064404629,-43.9009990339114,3.80713987324838e-187,3.09377703949847e-184,417.689243485967
"CA10",-3.11943140957782,0.540831100612539,-43.2696736940982,2.46846847803337e-184,1.88980206811769e-181,411.234222506278
"IRX2",-3.72638643553357,1.1007077353681,-43.2676918998639,2.51934849874685e-184,1.88980206811769e-181,411.213880595556
"ELF5",-3.83941604462292,0.603944607645735,-42.9297547474765,8.22877282404515e-183,5.94391690323528e-180,407.737928122354
"NRK",-3.49127389337097,0.759148845802266,-41.6388945901741,5.70035018579141e-177,3.97049748833893e-174,394.327850186922
"KCNJ1",-6.91593428020929,1.79012797865452,-41.5187592154333,2.01406629714822e-176,1.35449431011316e-173,393.069132035362
"CLDN16",-5.13194694712448,1.40223784483287,-40.9299032550135,1.00544458837092e-173,6.53639526899932e-171,386.873061477172
"TYRP1",-3.30898344755598,0.601371329677378,-40.6871046642513,1.31951400851801e-172,8.30144571229894e-170,384.305552713128
"OVCH2",-3.14510522947364,0.729726877884997,-38.4685165357749,3.05251907647157e-162,1.86041498588828e-159,360.501995012139
"ACOT12",-1.70047424087546,0.334432582372118,-38.3151219946671,1.62572934659436e-161,9.60806043837268e-159,358.833500563324
"RANBP3L",-4.39835028493918,1.29835708744141,-38.2380411698022,3.77167593326792e-161,2.16349987430954e-158,357.993981431428
"IRX1",-3.73396208448224,1.09691655399764,-38.1997888648338,5.72834485632826e-161,3.191997420942e-158,357.577086901908
"CASR",-5.00787156167199,1.40974749037606,-37.8811676700302,1.87419355532725e-159,1.01534435859854e-156,354.097559115146
"MFSD4A",-4.50218247326936,3.16356406321731,-37.3792253874418,4.67821047082703e-157,2.46592267060918e-154,348.590730841956
"PTGER1",-3.7366735382765,0.934138165487652,-37.1728833761541,4.56484513460036e-156,2.34284670158186e-153,346.318003167023
"COL4A6",-2.60274976385614,0.594276290346591,-37.0883551898007,1.16241036698904e-155,5.81294599676598e-153,345.385480535878
"FAM3B",-3.59649040505203,1.03199893624509,-36.926435462872,6.98233702251049e-155,3.40441297375055e-152,343.596742978449
"KCTD8",-1.12261110287649,0.235374877222141,-36.9026875336898,9.08480516684554e-155,4.32148671143875e-152,343.334130645802
"CLDN8",-6.75700854964009,1.37411817543814,-36.499447168452,8.01452277777799e-153,3.72160089845248e-150,338.864563012826
"ERVMER34-1",-3.08981938177389,0.789085145491041,-36.4660716393185,1.16221847808195e-152,5.27133650651914e-150,338.493746525745
"CLUL1",-2.00489035709874,0.780698984871489,-35.4943187516479,6.16620113888132e-148,2.73316865480914e-145,327.638922724945
"SIM2",-2.89980976174423,1.01302658758898,-35.47228357163,7.9015742363495e-148,3.42454227403387e-145,327.391487324751
"CLDN19",-5.03866539353973,1.54372473822406,-35.386999397,2.0642759340791e-147,8.75208120485752e-145,326.433286185245
"GGT6",-5.38195453959186,1.45159802523587,-35.1042038265159,5.01545741916544e-146,2.08120140523369e-143,323.249894064729
"TPPP2",-1.02459415648163,0.220874363297041,-34.9926605885959,1.76976194711853e-145,7.19076401138596e-143,321.991712564271
"EHF",-4.5940392088031,1.23605853944199,-34.7278381252177,3.55225457398269e-144,1.41386981543642e-141,318.998829412143
"NAT8L",-3.97358116580751,1.0234392409424,-34.3553801990991,2.44562844554237e-142,9.53941831468255e-140,314.775931638008
"SCNN1G",-6.31644333855733,1.61826710353691,-34.2338014585947,9.7676541488082e-142,3.73526586008248e-139,313.394076756492
"BRINP3",-1.70928771534278,0.295661073604842,-34.1815455466042,1.77214724255353e-141,6.64657455221569e-139,312.799628459239
"C4orf54",-1.57799260038918,0.224738106810308,-33.9869698889304,1.63294734070439e-140,6.00893811052031e-138,310.583499869009
"MCCD1",-4.77358802823745,1.24811851629915,-33.9532336043336,2.40094432439922e-140,8.67141058495517e-138,310.198828798408
"PLPPR1",-3.87567282724142,0.945675711163044,-33.920855968209,3.47617361792232e-140,1.23265116491526e-137,309.829530332671
"GABRA2",-2.51534028134675,0.44545872346633,-33.8108287310254,1.22360646307085e-139,4.26142800879834e-137,308.573692859312
"ADH1C",-4.24989186932417,1.22470875892983,-33.2478730263285,7.8167022200747e-137,2.67454637540556e-134,302.127367416343
"ADGRF3",-1.72973280759902,0.643077642159755,-33.0582092356155,6.94264039803902e-136,2.33452268418888e-133,299.947812724204
"SPAG4",3.75214750048434,5.27706273572704,33.0155010947241,1.13588989041742e-135,3.7547899208154e-133,299.456493225836
"BSND",-4.82048103595237,0.925165512258337,-32.9078799856023,3.93094431268547e-135,1.27775344883841e-132,298.217545913016
"SFRP1",-6.00937209558154,2.65343713318092,-32.7253828852017,3.23581637685024e-134,1.03455945570017e-131,296.113814491481
"TNNI1",-2.05792702955374,0.599849271586911,-32.6053526560707,1.29698372667529e-133,4.07985058408841e-131,294.728260521365
"CLCNKA",-5.79642428064852,1.68518225418059,-32.5210875222198,3.44044088820764e-133,1.06506220067799e-130,293.754658317148
"NHLRC4",-2.70589599450081,1.66847148114698,-32.2577917384865,7.28610271662815e-132,2.22032595753748e-129,290.707798124771
"CALB1",-5.08630376563099,1.02741061268422,-32.155960407439,2.3774578199242e-131,7.13347074799719e-129,289.527499930446
"EGF",-5.36343347392753,2.28138726304751,-31.7156957718133,3.99877768170557e-129,1.181638804944e-126,284.412489779719
"ADGRF1",-4.14238863223437,0.993332170108047,-31.6252112514415,1.14925472607006e-128,3.34536043620065e-126,283.358850873204
"UNCX",-1.31024659788306,0.178335316518309,-31.445081024043,9.42270269499219e-128,2.70251427441813e-125,281.258957835389
"TMPRSS2",-4.87900183339065,1.41642489616597,-31.4364857678125,1.04186473643593e-127,2.94485332676957e-125,281.158678691175
"RASL11B",-4.07976566369338,1.64139577328978,-31.3348783009103,3.41884440896065e-127,9.52538892970852e-125,279.972704852925
"SLC2A12",-2.67060044723391,0.958344906622681,-31.2339906964442,1.11356401701373e-126,3.05885056673505e-124,278.79415386075
"PRDM16",-2.76683862057759,1.13546783733553,-31.2072082779707,1.52379729248505e-126,4.12758591601887e-124,278.481123456652
"RBP2",-1.91038082001519,0.605787187491254,-31.1877448705182,1.91396566028572e-126,5.11343455788388e-124,278.253594233824
"HELT",-1.0085875464613,0.15855439416187,-31.1518282152062,2.91525586390324e-126,7.68327501536553e-124,277.83363062865
"EPB41L4B",-2.89205136960663,0.829374207324188,-31.1395021618477,3.36824234067455e-126,8.7587773826901e-124,277.689477344832
"SCNN1B",-4.93192979356281,1.70053914183737,-31.0150070289733,1.44977252671373e-125,3.72038336690761e-123,276.232704078134
"EPN3",-3.20571182259231,0.86572152334835,-30.9422378503324,3.40496263945507e-125,8.62428394250548e-123,275.380527526031
"CA9",7.33746828947451,7.19964782249992,30.9008641350795,5.53397183675384e-125,1.38370580425911e-122,274.895793634293
"SERPINA5",-5.99298320231286,2.54704910189624,-30.8259021210903,1.33465947239597e-124,3.29491945444791e-122,274.017136407553
"MAPK4",-2.57365689176323,0.564726069699253,-30.8014447565246,1.77893642909363e-124,4.33682464707663e-122,273.730350689181
"ERBB4",-3.18139847330753,0.887189074294383,-30.6486376261242,1.07243700532406e-123,2.58218998948581e-121,271.93730425555
"PRR15",-3.72510559973756,1.81743695141278,-30.6398909745639,1.18866307663035e-123,2.82713365652703e-121,271.834606367117
"ARMH4",-2.89987575813767,1.64497025929633,-30.5184158503853,4.96579487175335e-123,1.16684213715428e-120,270.407605922165
"HYKK",-1.34804001964841,1.34360219181066,-30.4824373103309,7.58588186443402e-123,1.7612792143102e-120,269.98470243649
"TMEM213",-6.61111538618774,1.5981742143512,-30.2736753498101,8.88647925056839e-122,2.03897652733924e-119,267.528581462211
"CLCNKB",-6.53459421746833,2.07596113051557,-30.1062283542656,6.41418922335055e-121,1.45460386538379e-118,265.55578329324
"TNNC1",-3.01187721090653,1.24789949053343,-30.0332869475741,1.51845182732545e-120,3.40395011360095e-118,264.695659555284
"FRMD7",-1.96291897714603,0.347150466116181,-29.9322493275455,5.0135458498153e-120,1.11112709896532e-117,263.503477674827
"WNT9B",-2.24827745189896,0.733766156777343,-29.7476168128429,4.45696787263151e-119,9.76676903594746e-117,261.322711735415
"KLHL14",-2.79858307377286,1.17950342645041,-29.6947005878341,8.34106522416912e-119,1.80750883407745e-116,260.697176373169
"SLC4A1",-5.88023325666214,1.59151905404687,-29.6126308730824,2.20574541349606e-118,4.72732448345204e-116,259.726556743136
"SLC4A9",-3.26500551609058,0.755280495343905,-29.5501364128004,4.62714922324802e-118,9.80905340228327e-116,258.98708186734
"KLRG2",-2.9746272864515,0.645779847423687,-29.4898281737682,9.46117699078801e-118,1.96299292395041e-115,258.273177170356
"TMEM52B",-5.094750170273,2.09589776116114,-29.2970342317162,9.32862444447931e-117,1.91511750042821e-114,255.989017979355
"CCDC181",-2.06167792891291,0.914363171957454,-29.2837303854399,1.09256452524026e-116,2.21961311830841e-114,255.831290488184
"NOS1AP",-1.23498469813605,0.513193565131978,-29.267556807393,1.32400156026569e-116,2.66206210617131e-114,255.639521503177
"FGF9",-3.97249037807657,0.915325091769572,-29.2420827233237,1.7919678089139e-116,3.56619879359672e-114,255.337435817202
"SPTBN2",-4.86361136905834,1.91306222059044,-29.1866798910785,3.46157816180234e-116,6.81930897875062e-114,254.680265116053
"GAL3ST3",-2.57524482712228,0.63990236415456,-29.0129265198414,2.73342771597561e-115,5.33100407446724e-113,252.617734195444
"GRHL2",-3.18114166004755,0.788900980151486,-28.9828660823856,3.90903742036147e-115,7.5483125553772e-113,252.260671529828
"F11",-3.57983541505934,1.21645698617438,-28.9600064221587,5.13139822151248e-115,9.81153524648606e-113,251.989095577836
"PCDH9",-1.39555717777841,0.453983845997609,-28.9212524766228,8.13955705242521e-115,1.54122117663543e-112,251.52860434604
"SLC12A3",-5.64451412750244,1.37010326519577,-28.8065438262682,3.19115481025468e-114,5.98433579465356e-112,250.164936086216
"NOS1",-1.77822785562042,0.460308119040094,-28.6861538533237,1.34007808820344e-113,2.48909932897444e-111,248.732696398395
"NR0B2",-4.38270344220675,0.964576407227839,-28.6646155585143,1.73247857470985e-113,3.18759713609115e-111,248.47635249323
